1|2
1|4
1|7
1|12
1|16
1|21
1|31
1|32
1|47
1|53
1|57
1|69
1|70
1|104
1|107
1|108
1|128
1|212
1|232
1|242
1|264
1|385
1|397
1|445
1|519
1|558
1|577
1|587
1|688
1|714
1|730
1|767
1|788
1|817
1|980
1|993
1|1002
1|1071
1|1305
1|1322
1|1362
1|1380
1|1557
1|1565
1|1826
1|1827
1|1938
1|2071
1|2091
1|2102
1|2663
1|2771
1|2779
1|2917
1|3115
1|3452
1|3726
1|4042
1|4447
1|4449
1|5283
1|5296
1|5772
1|6782
1|6798
1|8615
1|9744
2|1
2|3
2|4
2|16
2|31
2|32
2|47
2|54
2|57
2|70
2|91
2|104
2|107
2|232
2|264
2|444
2|595
2|704
2|714
2|730
2|817
2|896
2|906
2|1063
2|1104
2|1311
2|1322
2|1353
2|1362
2|1557
2|1575
2|1827
2|1879
2|2058
2|2071
2|3037
2|3636
2|4019
2|4041
2|4042
2|4167
2|4447
2|4954
2|4976
2|5182
2|5316
2|5772
2|6363
2|6959
2|8025
3|2
3|4
3|6
3|7
3|10
3|12
3|16
3|31
3|32
3|47
3|54
3|57
3|59
3|70
3|87
3|98
3|104
3|107
3|108
3|119
3|133
3|173
3|180
3|228
3|232
3|264
3|381
3|427
3|444
3|504
3|519
3|553
3|558
3|592
3|595
3|644
3|671
3|709
3|714
3|730
3|906
3|931
3|947
3|1002
3|1007
3|1078
3|1088
3|1104
3|1123
3|1322
3|1362
3|1380
3|1432
3|1445
3|1452
3|1557
3|1754
3|1827
3|1875
3|1879
3|1897
3|2017
3|2058
3|2071
3|2102
3|2271
3|2477
3|2568
3|2625
3|2771
3|3041
3|3056
3|3636
3|4041
3|4042
3|4106
3|4447
3|4909
3|4954
3|4976
3|5182
3|5225
3|5267
3|5316
3|5616
3|5772
3|6237
4|1
4|2
4|3
4|47
4|70
4|5772
5|33
5|68
5|558
6|1
6|3
6|7
6|10
6|16
6|33
6|47
6|81
6|107
6|158
6|181
6|209
6|212
6|231
6|267
6|284
6|307
6|400
6|424
6|427
6|504
6|545
6|556
6|595
6|688
6|807
6|947
6|950
6|1063
6|1247
6|1255
6|1380
6|1574
6|1629
6|1897
6|2051
6|4042
6|4575
6|4853
6|5316
6|5693
6|5772
6|6237
6|8858
7|1
7|3
7|6
7|10
7|12
7|13
7|16
7|21
7|24
7|32
7|43
7|46
7|47
7|48
7|57
7|58
7|59
7|60
7|63
7|68
7|70
7|71
7|87
7|104
7|108
7|119
7|158
7|173
7|175
7|179
7|180
7|228
7|244
7|263
7|267
7|284
7|305
7|307
7|308
7|401
7|427
7|433
7|460
7|528
7|537
7|595
7|615
7|665
7|671
7|795
7|818
7|896
7|906
7|950
7|957
7|1007
7|1173
7|1234
7|1290
7|1293
7|1380
7|1574
7|1619
7|1985
7|3452
7|3636
7|4092
7|4954
7|6957
7|6959
7|9962
8|12
8|15
8|21
8|28
8|71
8|73
8|119
8|175
8|197
8|224
8|264
8|343
8|346
8|392
8|397
8|401
8|1059
8|1834
8|2771
9|57
9|59
9|71
9|381
9|1456
9|3746
9|5772
9|7194
10|1
10|2
10|3
10|4
10|6
10|7
10|12
10|14
10|15
10|16
10|21
10|22
10|25
10|26
10|32
10|33
10|37
10|43
10|46
10|47
10|56
10|57
10|58
10|59
10|60
10|61
10|66
10|68
10|70
10|71
10|73
10|77
10|81
10|87
10|91
10|98
10|104
10|107
10|108
10|119
10|126
10|158
10|171
10|173
10|175
10|197
10|209
10|212
10|224
10|228
10|232
10|239
10|242
10|264
10|288
10|305
10|307
10|315
10|341
10|343
10|381
10|397
10|401
10|405
10|412
10|413
10|419
10|424
10|427
10|433
10|441
10|444
10|460
10|470
10|471
10|487
10|504
10|514
10|519
10|528
10|534
10|553
10|580
10|585
10|587
